id,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
12,19.0,1.0,1.0,1.0,54.0,240.81,0.13,7.72,28.23,1923.16,0.08,106.84,11,2,5,0,9.0,10.0,29.0,19.0,1.0,False
13,83.0,11.0,1.0,4.0,141.0,879.58,0.06,17.86,49.25,15709.76,0.29,872.76,58,23,11,1,24.0,43.0,83.0,64.0,16.0,False
14,6.0,1.0,1.0,1.0,17.0,58.81,0.19,5.25,11.2,276.75,0.02,15.38,3,0,0,0,7.0,4.0,12.0,6.0,1.0,True
15,66.0,8.0,1.0,5.0,158.0,835.29,0.03,28.8,25.06,30051.42,0.24,1669.52,46,9,9,0,20.0,25.0,96.0,72.0,13.0,False
16,126.0,13.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,25.0,True
17,7.0,1.0,1.0,1.0,35.0,148.68,0.09,11.67,11.9,1711.91,0.05,95.11,5,0,0,0,14.0,6.0,26.0,10.0,1.0,False
18,40.0,9.0,3.0,7.0,151.0,823.92,0.04,23.33,35.54,22476.1,0.27,1248.67,32,0,8,2,18.0,21.0,95.0,56.0,17.0,True
19,83.0,9.0,1.0,8.0,483.0,2881.39,0.02,42.24,56.53,111762.93,0.96,6209.05,62,4,12,0,25.0,45.0,252.0,198.0,17.0,True
20,5.0,1.0,1.0,1.0,14.0,48.43,0.29,3.5,13.32,145.3,0.02,8.07,3,0,0,0,7.0,5.0,9.0,5.0,1.0,False
21,4.0,1.0,1.0,1.0,12.0,38.04,0.25,4.0,9.51,152.16,0.02,8.45,2,0,0,0,6.0,3.0,8.0,4.0,1.0,False
22,5.0,2.0,1.0,1.0,11.0,34.87,0.19,5.25,6.64,183.06,0.01,10.17,3,0,0,0,7.0,2.0,8.0,3.0,3.0,False
23,16.0,1.0,1.0,1.0,21.0,77.71,0.32,3.11,28.71,233.13,0.03,12.95,8,4,3,0,5.0,9.0,12.0,9.0,1.0,False
24,63.0,12.0,1.0,6.0,244.0,1363.51,0.03,34.04,41.47,44016.67,0.45,2454.23,54,1,6,0,27.0,38.0,147.0,93.0,22.0,True
25,83.0,11.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,21.0,True
26,45.0,6.0,1.0,5.0,121.0,659.92,0.05,20.63,32.67,13434.72,0.22,746.37,35,1,6,0,21.0,24.0,74.0,47.0,11.0,True
27,32.0,6.0,3.0,3.0,87.0,422.64,0.05,20.54,21.06,8620.49,0.14,478.92,21,3,2,0,16.0,13.0,54.0,35.0,11.0,False
28,11.0,3.0,3.0,2.0,41.0,185.47,0.13,7.5,24.11,1404.72,0.06,78.04,9,0,1,0,13.0,12.0,26.0,15.0,5.0,False
29,12.0,1.0,1.0,1.0,45.0,171.33,0.06,16.0,10.88,2670.88,0.06,148.38,7,0,3,0,9.0,4.0,29.0,16.0,1.0,False
30,13.0,2.0,1.0,2.0,33.0,151.3,0.14,6.95,24.28,974.18,0.05,54.12,9,0,1,0,11.0,11.0,20.0,13.0,3.0,False
31,34.0,5.0,1.0,3.0,99.0,511.82,0.03,28.31,17.53,15018.77,0.17,834.38,29,0,5,0,20.0,13.0,71.0,38.0,9.0,False
32,45.0,7.0,6.0,7.0,141.0,778.82,0.05,20.89,38.84,16271.82,0.26,903.99,32,11,9,0,18.0,25.0,76.0,65.0,13.0,True
33,21.0,5.0,1.0,2.0,62.0,307.16,0.11,9.1,31.23,2839.9,0.1,157.77,16,0,1,0,13.0,15.0,41.0,21.0,9.0,False
34,56.0,10.0,1.0,10.0,210.0,1210.9,0.07,14.97,74.03,20171.67,0.4,1120.65,46,2,2,0,16.0,43.0,124.0,80.0,19.0,False
35,34.0,7.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,13.0,False
36,54.0,5.0,1.0,5.0,121.0,605.41,0.04,27.82,20.49,17112.86,0.2,950.71,41,3,10,0,18.0,17.0,72.0,49.0,9.0,True
37,7.0,1.0,1.0,1.0,13.0,44.97,0.29,3.5,14.99,134.92,0.01,7.5,5,0,0,0,5.0,5.0,7.0,6.0,1.0,False
38,5.0,1.0,1.0,1.0,12.0,33.69,0.27,3.75,6.74,166.42,0.01,9.25,3,0,0,0,5.0,2.0,8.0,5.0,1.0,False
39,21.0,3.0,1.0,2.0,58.0,262.37,0.07,13.85,19.68,3772.81,0.09,209.6,15,0,4,0,13.0,10.0,35.0,22.0,5.0,False
40,80.0,11.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,21.0,False
41,26.0,7.0,1.0,2.0,71.0,316.62,0.07,14.04,21.3,4461.58,0.11,247.87,21,0,3,0,14.0,13.0,41.0,24.0,13.0,False
42,8.0,2.0,1.0,2.0,14.0,50.19,0.21,4.8,10.34,200.76,0.02,11.15,5,0,1,0,8.0,5.0,9.0,6.0,3.0,False
43,51.0,9.0,6.0,7.0,147.0,776.49,0.05,19.33,38.97,14942.9,0.26,830.7,32,5,9,0,18.0,24.0,89.0,54.0,17.0,False
44,28.0,2.0,1.0,2.0,71.0,341.32,0.07,13.87,24.61,4733.0,0.11,262.94,23,2,2,0,13.0,12.0,39.0,32.0,3.0,False
45,37.0,10.0,6.0,2.0,121.0,625.51,0.04,27.53,21.57,16616.31,0.21,923.13,26,2,4,0,19.0,17.0,72.0,49.0,19.0,True
46,42.0,3.0,1.0,3.0,126.0,624.23,0.11,9.26,67.62,6645.43,0.21,369.19,28,2,9,0,9.0,25.0,72.0,48.0,5.0,True
47,17.0,2.0,1.0,1.0,31.0,142.13,0.12,8.4,16.92,1193.92,0.05,66.33,13,1,1,0,14.0,10.0,19.0,12.0,3.0,False
48,17.0,3.0,1.0,3.0,71.0,337.76,0.07,14.77,22.81,4637.13,0.11,257.74,13,0,2,0,11.0,11.0,41.0,30.0,5.0,False
49,97.0,23.0,11.0,13.0,269.0,1611.84,0.02,45.85,35.01,51967.89,0.54,2887.11,72,12,15,0,25.0,31.0,160.0,111.0,45.0,True
50,9.0,2.0,1.0,2.0,26.0,96.21,0.15,6.67,13.59,616.79,0.03,34.27,6,0,1,0,8.0,6.0,14.0,12.0,3.0,False
51,10.0,2.0,1.0,2.0,25.0,97.67,0.19,5.14,18.28,527.7,0.03,29.32,7,0,1,0,9.0,7.0,14.0,8.0,3.0,False
52,5.0,1.0,1.0,1.0,18.0,66.61,0.4,2.5,21.51,166.52,0.02,9.25,3,0,0,0,5.0,7.0,11.0,7.0,1.0,True
53,26.0,3.0,1.0,3.0,134.0,687.32,0.06,17.82,40.04,11852.91,0.23,658.5,23,0,1,0,16.0,22.0,82.0,52.0,5.0,False
54,11.0,2.0,1.0,2.0,36.0,152.93,0.2,5.09,26.4,764.23,0.05,42.46,9,0,0,0,7.0,11.0,19.0,18.0,3.0,False
55,13.0,1.0,1.0,1.0,21.0,70.28,0.29,3.5,20.09,246.08,0.02,13.67,6,4,1,0,6.0,6.0,11.0,8.0,1.0,False
56,12.0,3.0,3.0,2.0,45.0,222.97,0.1,10.21,22.3,2229.72,0.07,123.87,9,0,1,0,13.0,14.0,25.0,20.0,5.0,False
57,9.0,1.0,1.0,1.0,13.0,43.19,0.33,3.0,11.0,144.43,0.01,8.22,5,0,2,0,6.0,3.0,9.0,3.0,1.0,False
58,74.0,13.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,25.0,True
59,32.0,4.0,1.0,1.0,77.0,388.42,0.09,10.69,37.17,4346.47,0.13,241.47,24,0,6,0,11.0,16.0,44.0,33.0,7.0,False
60,15.0,2.0,1.0,1.0,37.0,157.89,0.12,8.25,19.86,1278.37,0.05,71.02,11,0,2,0,11.0,10.0,22.0,15.0,3.0,False
61,10.0,2.0,1.0,2.0,14.0,48.43,0.28,3.6,13.45,174.36,0.02,9.69,6,0,2,0,6.0,5.0,8.0,6.0,3.0,False
62,40.0,1.0,1.0,1.0,168.0,853.68,0.05,18.24,42.98,14115.6,0.28,784.2,33,1,5,0,12.0,25.0,87.0,61.0,1.0,False
63,30.0,3.0,1.0,2.0,89.0,418.76,0.07,15.21,28.19,6369.62,0.14,353.87,24,0,6,0,13.0,14.0,55.0,34.0,5.0,True
64,19.0,8.0,4.0,4.0,207.0,1485.6,0.03,34.0,32.83,37951.13,0.5,2108.4,11,0,3,3,24.0,18.0,156.0,51.0,15.0,False
65,62.0,11.0,7.0,9.0,225.0,1306.65,0.03,29.84,43.79,38988.89,0.44,2166.05,48,0,12,0,25.0,31.0,151.0,74.0,21.0,False
66,15.0,2.0,1.0,2.0,49.0,227.55,0.15,6.46,34.55,1511.49,0.08,83.97,9,1,2,0,8.0,13.0,28.0,23.0,3.0,False
67,57.0,10.0,6.0,1.0,143.0,792.81,0.04,25.26,31.44,18509.19,0.26,1028.29,41,4,8,0,21.0,19.0,92.0,51.0,19.0,False
68,18.0,3.0,3.0,2.0,50.0,235.02,0.1,10.21,23.5,2350.76,0.08,130.6,15,0,1,0,13.0,14.0,27.0,23.0,5.0,False
69,23.0,5.0,3.0,3.0,87.0,460.74,0.05,19.38,22.91,8083.31,0.15,449.26,19,0,2,0,20.0,18.0,44.0,33.0,9.0,False
70,39.0,9.0,8.0,1.0,120.0,518.63,0.03,39.0,13.3,20226.62,0.18,1123.7,31,0,8,0,25.0,7.0,78.0,42.0,17.0,True
71,27.0,6.0,5.0,6.0,74.0,364.35,0.06,16.07,22.67,5855.6,0.12,325.31,20,0,3,0,15.0,15.0,44.0,30.0,11.0,True
72,49.0,5.0,1.0,5.0,124.0,708.24,0.06,17.94,44.35,12754.41,0.24,708.58,36,4,7,0,18.0,28.0,72.0,52.0,9.0,False
73,88.0,22.0,14.0,12.0,304.0,1662.21,0.02,41.02,44.44,81820.29,0.55,4545.57,74,15,10,0,23.0,31.0,215.0,118.0,43.0,True
74,32.0,4.0,1.0,4.0,104.0,534.38,0.05,20.57,27.0,9185.7,0.18,510.32,22,0,8,0,19.0,21.0,60.0,44.0,7.0,False
75,5.0,2.0,1.0,1.0,13.0,44.97,0.33,3.0,14.99,134.92,0.02,7.5,2,0,0,0,6.0,5.0,8.0,5.0,3.0,False
76,10.0,2.0,1.0,2.0,25.0,102.19,0.19,5.4,17.63,558.41,0.03,31.02,7,0,1,0,9.0,10.0,16.0,12.0,3.0,False
77,4.0,1.0,1.0,1.0,10.0,28.07,0.38,2.67,10.53,74.86,0.01,4.16,2,0,0,0,6.0,3.0,6.0,4.0,1.0,False
78,32.0,4.0,1.0,3.0,85.0,449.26,0.08,13.3,33.78,5888.27,0.15,327.13,19,0,6,0,14.0,20.0,49.0,38.0,7.0,False
79,19.0,3.0,1.0,3.0,77.0,388.42,0.07,14.0,26.7,5350.53,0.13,297.25,16,0,1,0,14.0,14.0,47.0,28.0,5.0,False
80,42.0,3.0,1.0,3.0,134.0,761.04,0.06,17.78,40.23,10761.19,0.25,597.84,34,0,4,0,16.0,26.0,74.0,60.0,5.0,False
81,4.0,1.0,1.0,1.0,15.0,51.89,0.5,2.0,25.95,103.78,0.02,5.77,2,0,0,0,4.0,7.0,8.0,7.0,1.0,True
82,10.0,2.0,1.0,2.0,14.0,46.51,0.19,5.25,8.86,244.16,0.02,13.56,7,0,1,0,6.0,4.0,7.0,7.0,3.0,False
83,17.0,1.0,1.0,1.0,58.0,272.63,0.15,6.56,37.82,1840.77,0.09,102.26,11,0,3,0,8.0,17.0,31.0,27.0,1.0,False
84,42.0,9.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,17.0,False
85,7.0,1.0,1.0,1.0,6.0,15.51,0.67,1.5,10.34,23.26,0.01,1.29,3,0,2,0,3.0,3.0,3.0,3.0,1.0,False
86,100.0,8.0,6.0,7.0,196.0,1143.25,0.04,23.24,49.2,26572.76,0.38,1476.69,63,28,7,0,20.0,37.0,110.0,86.0,15.0,True
87,18.0,3.0,1.0,1.0,36.0,144.0,0.11,9.17,15.0,1200.0,0.05,66.67,13,0,2,0,10.0,6.0,23.0,13.0,5.0,False
88,8.0,2.0,1.0,1.0,18.0,74.23,0.22,4.5,14.8,296.92,0.02,16.5,4,0,2,0,6.0,6.0,9.0,9.0,3.0,False
89,7.0,1.0,1.0,1.0,13.0,41.21,0.29,3.5,11.77,144.23,0.01,8.01,4,0,1,0,7.0,4.0,7.0,4.0,1.0,False
90,26.0,3.0,1.0,1.0,31.0,118.03,0.08,12.0,11.11,1563.06,0.04,86.84,13,9,3,0,9.0,6.0,23.0,12.0,5.0,False
91,89.0,13.0,12.0,3.0,222.0,1197.09,0.03,34.13,37.0,47209.52,0.4,2619.49,61,7,14,0,26.0,32.0,132.0,91.0,25.0,True
92,7.0,2.0,1.0,2.0,16.0,55.35,0.5,2.0,27.68,110.7,0.02,6.15,5,0,0,0,4.0,7.0,9.0,7.0,3.0,False
93,11.0,2.0,1.0,2.0,28.0,106.61,0.18,5.63,19.46,693.96,0.04,38.55,9,0,0,0,9.0,8.0,16.0,12.0,3.0,False
94,19.0,3.0,1.0,1.0,41.0,177.2,0.13,7.7,23.79,1083.57,0.06,60.2,9,3,4,0,12.0,10.0,27.0,12.0,5.0,False
95,20.0,2.0,1.0,2.0,65.0,309.07,0.08,12.54,24.28,3814.78,0.1,211.93,14,1,3,0,13.0,14.0,38.0,27.0,3.0,False
96,24.0,4.0,1.0,4.0,63.0,294.41,0.09,11.67,26.37,4526.5,0.1,251.47,18,0,4,0,14.0,15.0,42.0,25.0,7.0,False
97,26.0,2.0,1.0,2.0,94.0,472.25,0.08,12.89,37.75,5658.32,0.16,314.35,20,1,3,0,13.0,21.0,55.0,39.0,3.0,False
98,21.0,5.0,1.0,5.0,93.0,477.02,0.08,13.33,35.78,6360.31,0.16,353.35,18,0,1,0,14.0,21.0,53.0,38.0,9.0,True
99,17.0,6.0,6.0,4.0,97.0,493.48,0.04,24.07,20.5,11876.51,0.16,659.81,27,0,3,0,19.0,15.0,59.0,38.0,11.0,False
100,9.0,2.0,1.0,2.0,21.0,79.95,0.16,6.3,12.69,503.71,0.03,27.98,6,0,1,0,9.0,5.0,12.0,7.0,3.0,False
101,14.0,2.0,1.0,2.0,34.0,146.95,0.16,6.25,23.19,844.41,0.05,46.91,10,0,2,0,7.0,10.0,19.0,15.0,3.0,False
102,31.0,3.0,1.0,2.0,104.0,505.23,0.05,19.72,26.89,11067.73,0.17,612.52,21,3,5,0,16.0,17.0,60.0,44.0,5.0,False
103,12.0,3.0,1.0,3.0,26.0,108.42,0.13,8.0,12.84,1084.18,0.04,60.23,7,0,3,0,8.0,6.0,16.0,12.0,5.0,False
104,26.0,3.0,3.0,2.0,88.0,496.33,0.09,11.5,39.35,5624.99,0.17,312.5,23,0,1,0,14.0,22.0,48.0,40.0,5.0,False
105,95.0,13.0,6.0,8.0,196.0,1027.9,0.04,24.31,42.44,30374.3,0.34,1687.46,50,35,8,2,28.0,39.0,119.0,77.0,24.0,True
106,34.0,4.0,1.0,3.0,83.0,380.55,0.07,15.5,24.55,5898.55,0.13,327.7,26,3,3,0,12.0,16.0,52.0,31.0,7.0,False
107,48.0,6.0,1.0,6.0,192.0,1035.43,0.07,14.96,68.08,1529.25,0.35,84.96,37,6,2,0,14.0,34.0,141.0,69.0,11.0,True
108,10.0,1.0,1.0,1.0,27.0,93.4,0.14,7.0,13.66,800.63,0.03,44.48,5,0,3,0,6.0,6.0,15.0,12.0,1.0,False
109,32.0,4.0,3.0,4.0,91.0,487.54,0.06,15.55,31.36,7578.99,0.16,421.05,22,4,4,0,19.0,22.0,55.0,36.0,7.0,True
110,30.0,5.0,3.0,3.0,80.0,428.77,0.09,11.55,41.05,4062.21,0.14,225.68,25,0,3,0,16.0,26.0,46.0,34.0,9.0,False
111,47.0,9.0,7.0,5.0,243.0,1400.07,0.03,35.93,39.9,46993.5,0.47,2744.75,41,0,2,0,22.0,29.0,168.0,81.0,17.0,False
112,37.0,4.0,1.0,3.0,111.0,563.52,0.06,15.95,35.97,8830.53,0.19,490.59,30,0,6,0,15.0,20.0,60.0,51.0,7.0,False
113,64.0,7.0,4.0,4.0,232.0,1115.31,0.02,43.45,25.13,43442.73,0.37,2429.04,49,6,4,0,20.0,17.0,138.0,58.0,13.0,False
114,75.0,8.0,4.0,7.0,269.0,1585.62,0.05,19.64,73.83,30805.41,0.53,1711.41,54,2,8,0,15.0,47.0,144.0,123.0,15.0,True
115,56.0,9.0,4.0,4.0,249.0,1370.77,0.03,37.88,34.38,46993.5,0.46,2610.75,45,0,10,0,27.0,32.0,142.0,97.0,14.0,False
116,12.0,3.0,1.0,2.0,34.0,149.34,0.11,8.8,16.97,1314.18,0.05,73.01,11,0,1,0,11.0,10.0,18.0,16.0,5.0,False
117,12.0,1.0,1.0,1.0,63.0,257.51,0.1,9.64,25.27,2309.48,0.09,128.35,9,0,1,0,7.0,11.0,39.0,29.0,1.0,False
118,8.0,1.0,1.0,1.0,16.0,50.72,0.25,4.0,12.48,232.53,0.02,12.93,4,0,2,0,6.0,5.0,8.0,8.0,1.0,False
119,9.0,2.0,1.0,2.0,17.0,46.6,0.19,5.25,8.86,244.16,0.02,13.56,5,0,1,0,6.0,4.0,11.0,7.0,3.0,False
120,10.0,1.0,1.0,1.0,18.0,66.61,0.33,3.0,16.5,187.33,0.02,10.33,4,2,4,0,4.0,4.0,10.0,8.0,1.0,False
121,26.0,2.0,1.0,2.0,70.0,343.48,0.08,12.54,27.41,4691.29,0.11,260.63,17,3,4,0,13.0,16.0,38.0,32.0,3.0,False
122,101.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,25.0,True
123,42.0,5.0,1.0,5.0,138.0,766.36,0.06,18.0,44.1,14236.57,0.26,790.92,29,2,7,0,18.0,30.0,78.0,60.0,9.0,False
124,137.0,37.0,24.0,9.0,547.0,3388.37,0.02,63.59,61.91,175998.75,1.13,9777.71,114,2,5,0,28.0,47.0,367.0,207.0,73.0,True
125,18.0,2.0,1.0,2.0,48.0,217.13,0.13,8.25,27.65,1791.33,0.07,99.52,14,1,2,0,12.0,12.0,30.0,18.0,3.0,True
126,95.0,18.0,5.0,13.0,408.0,2383.08,0.02,40.88,59.99,94330.35,0.79,5240.57,79,0,16,0,23.0,48.0,246.0,141.0,35.0,True
127,30.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,17.0,True
128,25.0,4.0,1.0,2.0,59.0,260.0,0.1,10.0,27.07,2538.89,0.09,141.99,18,0,5,0,16.0,16.0,39.0,20.0,5.0,False
129,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.5,43.79,0.0,0.0,0.0,1,0,0,0,1.0,0.0,1.0,0.0,1.0,False
130,41.0,4.0,1.0,3.0,157.0,664.82,0.03,28.5,23.77,28991.96,0.22,1610.66,41,0,2,0,17.0,14.0,103.0,42.0,7.0,True
131,24.0,5.0,1.0,2.0,63.0,302.86,0.07,13.5,23.44,3639.0,0.1,202.17,19,0,3,0,15.0,15.0,40.0,23.0,9.0,False
132,102.0,31.0,22.0,19.0,567.0,3723.86,0.02,43.11,76.79,165091.96,1.24,9171.78,67,0,17,0,26.0,63.0,315.0,243.0,61.0,True
133,11.0,2.0,1.0,2.0,37.0,159.91,0.15,6.75,23.39,1046.69,0.05,58.15,9,0,0,0,9.0,10.0,22.0,15.0,3.0,False
134,36.0,4.0,1.0,4.0,75.0,375.0,0.14,7.29,53.57,3307.46,0.15,183.75,24,0,9,0,12.0,21.0,48.0,29.0,7.0,True
135,50.0,6.0,4.0,3.0,171.0,941.62,0.04,23.1,40.52,20861.67,0.31,1158.98,35,2,11,0,18.0,25.0,112.0,64.0,11.0,False
136,47.0,2.0,1.0,2.0,53.0,225.14,0.07,13.71,18.25,3432.02,0.08,190.67,16,21,4,0,12.0,10.0,27.0,24.0,3.0,True
137,30.0,6.0,1.0,5.0,68.0,332.84,0.07,14.0,23.23,4393.52,0.11,244.08,26,0,2,0,12.0,12.0,40.0,28.0,10.0,False
138,38.0,7.0,5.0,4.0,139.0,724.11,0.05,19.78,35.97,12660.78,0.24,703.38,20,9,6,0,19.0,25.0,77.0,52.0,13.0,True
139,39.0,5.0,1.0,4.0,102.0,563.52,0.04,23.04,24.38,12780.35,0.19,708.49,32,1,4,0,27.0,26.0,64.0,41.0,9.0,False
140,12.0,2.0,1.0,2.0,29.0,113.3,0.18,5.69,19.92,644.39,0.04,35.8,10,0,0,0,8.0,8.0,16.0,13.0,3.0,False
141,48.0,8.0,8.0,5.0,139.0,784.5,0.05,18.29,39.38,13485.6,0.26,749.2,34,0,8,0,16.0,28.0,77.0,62.0,15.0,False
142,19.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,1.0,False
143,24.0,4.0,1.0,2.0,41.0,182.84,0.09,10.83,15.62,1562.02,0.06,86.78,20,0,3,0,13.0,8.0,26.0,15.0,7.0,False
144,85.0,11.0,9.0,7.0,267.0,1607.97,0.04,23.16,59.84,36943.68,0.54,2052.42,67,6,8,1,20.0,49.0,152.0,110.0,21.0,False
145,44.0,8.0,6.0,3.0,128.0,685.77,0.03,30.5,22.66,19841.98,0.23,1102.33,36,2,2,0,21.0,19.0,79.0,49.0,15.0,False
146,10.0,1.0,1.0,1.0,14.0,50.19,0.33,3.0,16.73,150.57,0.02,8.36,5,1,2,0,6.0,6.0,8.0,6.0,1.0,True
147,11.0,2.0,1.0,2.0,21.0,72.65,0.29,3.5,22.08,289.36,0.03,16.07,6,0,3,0,6.0,7.0,14.0,7.0,3.0,False
148,22.0,3.0,1.0,2.0,50.0,219.62,0.09,10.91,21.3,2175.01,0.07,120.83,13,2,4,0,12.0,11.0,30.0,20.0,5.0,False
149,10.0,2.0,1.0,2.0,31.0,133.98,0.13,7.5,16.1,829.81,0.04,46.1,7,0,1,0,10.0,8.0,19.0,12.0,3.0,False
150,112.0,33.0,32.0,3.0,294.0,1650.71,0.02,50.0,24.61,98828.71,0.55,5490.48,61,18,8,0,20.0,20.0,162.0,96.0,65.0,True
151,5.0,1.0,1.0,1.0,16.0,53.15,0.3,3.33,15.19,186.03,0.02,10.33,3,0,0,0,5.0,6.0,9.0,8.0,1.0,False
152,12.0,2.0,1.0,2.0,28.0,114.45,0.09,10.8,10.85,899.7,0.04,49.98,11,0,1,0,12.0,5.0,20.0,8.0,3.0,False
153,41.0,4.0,1.0,4.0,105.0,536.44,0.05,19.0,28.09,11080.47,0.18,615.58,29,0,9,0,15.0,18.0,58.0,42.0,7.0,False
154,54.0,5.0,1.0,5.0,120.0,575.06,0.05,18.75,29.0,10555.04,0.19,586.39,38,2,7,0,17.0,18.0,75.0,45.0,9.0,True
155,21.0,5.0,4.0,4.0,77.0,388.42,0.06,15.6,26.25,6232.9,0.13,346.27,16,0,3,0,16.0,15.0,41.0,32.0,9.0,False
156,24.0,5.0,1.0,1.0,62.0,310.0,0.05,19.93,16.57,6046.3,0.1,335.91,19,1,1,0,17.0,9.0,39.0,23.0,9.0,False
157,30.0,3.0,1.0,3.0,79.0,398.51,0.14,6.9,56.21,2719.48,0.13,151.08,25,0,5,0,13.0,25.0,46.0,27.0,5.0,False
158,7.0,1.0,1.0,1.0,19.0,80.0,0.17,5.83,12.56,466.67,0.03,25.93,4,0,1,0,10.0,6.0,12.0,7.0,1.0,False
159,95.0,22.0,1.0,8.0,267.0,1564.08,0.03,30.39,47.31,47424.91,0.52,2634.72,66,20,8,0,20.0,33.0,151.0,116.0,43.0,True
160,41.0,5.0,1.0,5.0,117.0,595.23,0.07,13.57,39.72,7259.26,0.21,403.29,26,5,3,0,13.0,23.0,66.0,51.0,9.0,False
161,41.0,6.0,5.0,2.0,165.0,865.32,0.03,35.7,20.3,28563.14,0.29,1586.84,36,0,5,0,21.0,15.0,103.0,62.0,11.0,False
162,41.0,8.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,15.0,True
163,7.0,1.0,1.0,1.0,22.0,85.95,0.2,5.0,17.51,437.85,0.03,24.32,5,0,0,0,7.0,7.0,12.0,10.0,1.0,False
164,24.0,2.0,1.0,2.0,68.0,326.9,0.1,9.63,33.53,3187.28,0.11,177.07,16,2,4,0,11.0,16.0,42.0,26.0,3.0,False
165,54.0,6.0,1.0,2.0,176.0,824.79,0.03,35.89,23.49,29896.28,0.27,1660.9,42,6,5,0,16.0,14.0,119.0,57.0,11.0,False
166,18.0,2.0,1.0,2.0,36.0,143.06,0.19,5.33,25.54,890.16,0.05,49.45,13,0,2,0,8.0,12.0,21.0,16.0,3.0,False
167,65.0,9.0,3.0,5.0,220.0,1246.06,0.04,26.8,46.32,39298.33,0.42,2183.24,51,3,7,0,17.0,29.0,114.0,106.0,17.0,True
168,16.0,1.0,1.0,1.0,23.0,83.05,0.25,4.0,20.76,332.19,0.03,18.46,10,2,1,0,4.0,6.0,12.0,12.0,1.0,False
169,22.0,3.0,1.0,3.0,56.0,260.06,0.08,12.27,21.1,3418.78,0.09,189.93,14,1,4,0,16.0,15.0,33.0,23.0,5.0,False
